Age,Fare,Parch,PassengerId,SibSp,Survived,Ticket,Fare_bin,Fare_bin_id,Ticket_Letter,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Name_Master,Name_Miss,Name_Mr,Name_Mrs,Name_Officer,Name_Royalty,Age_scaled,Fare_scaled
22.0,7.25,0,1,1,0,A/5 21171,"(7.229, 7.896]",0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.5851502543815394,-0.5541770873201172
38.0,35.64165,0,2,1,1,PC 17599,"(26.277, 128.082]",1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0.6000497620414605,1.5418688106468892
26.0,7.925,0,3,0,1,STON/O2. 3101282,"(7.896, 10.5]",2,2,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,-0.2888502502757895,-0.5043444435277441
35.0,26.55,0,4,1,1,113803,"(26.277, 128.082]",1,3,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.37782475896214807,0.8706673944469947
35.0,8.05,0,5,0,0,373450,"(7.896, 10.5]",2,3,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.37782475896214807,-0.4951161761587861
23.860833706503783,8.4583,0,6,0,0,330877,"(7.896, 10.5]",2,3,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,-0.44730899566224225,-0.4649729636248218
54.0,25.93125,0,7,0,0,17463,"(10.5, 26.277]",3,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.7852497784644605,0.8249874709706526
2.0,4.215,1,8,3,0,349909,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,-2.0666502749102897,-0.778239419038417
27.0,3.7111,2,9,0,1,347742,"(-0.001, 7.229]",4,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.21477524924935198,-0.8154404104561603
14.0,15.0354,0,10,1,1,237736,"(10.5, 26.277]",3,3,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,-1.1777502625930396,0.0205889348741663
4.0,5.566666666666666,1,11,1,1,PP 9549,"(-0.001, 7.229]",4,4,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,-1.9185002728574145,-0.6784510878887513
58.0,26.55,0,12,0,1,113783,"(26.277, 128.082]",1,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,2.0815497825702107,0.8706673944469947
20.0,8.05,0,13,0,0,A/5. 2151,"(7.896, 10.5]",2,5,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.7333002564344145,-0.4951161761587861
39.0,4.4678571428571425,5,14,1,0,347082,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.674124763067898,-0.7595719524749247
14.0,7.8542,0,15,0,0,350406,"(7.229, 7.896]",0,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,-1.1777502625930396,-0.5095713341655219
55.0,16.0,0,16,0,1,248706,"(10.5, 26.277]",3,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1.859324779490898,0.09180162850694129
2.0,4.854166666666667,1,17,4,0,382652,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,-2.0666502749102897,-0.7310522118918118
32.58710456154601,13.0,0,18,0,1,244373,"(10.5, 26.277]",3,3,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.19908952688198261,-0.1296767883480502
31.0,9.0,0,19,1,0,345763,"(7.896, 10.5]",2,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.08152475485639803,-0.4249813441547055
18.62070651709401,7.225,0,20,0,1,2649,"(-0.001, 7.229]",4,3,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,-0.8354714225964343,-0.5560227407939088
35.0,13.0,0,21,0,0,239865,"(10.5, 26.277]",3,3,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.37782475896214807,-0.1296767883480502
34.0,13.0,0,22,0,1,248698,"(10.5, 26.277]",3,3,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.3037497579357105,-0.1296767883480502
15.0,8.0292,0,23,0,1,330923,"(7.896, 10.5]",2,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-1.103675261566602,-0.4966517598489808
28.0,35.5,0,24,0,1,113788,"(26.277, 128.082]",1,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-0.14070024822291446,1.5314113380643861
8.0,4.215,1,25,3,0,349909,"(-0.001, 7.229]",4,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,-1.6222002687516646,-0.778239419038417
38.0,4.483928571428572,5,26,1,1,347077,"(-0.001, 7.229]",4,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.6000497620414605,-0.7583854609560586
29.5547158704981,7.225,0,27,0,0,2631,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.02553466851994903,-0.5560227407939088
19.0,43.833333333333336,2,28,3,0,19950,"(26.277, 128.082]",1,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,-0.807375257460852,2.146629162661585
22.706140476190473,7.8792,0,29,0,1,330959,"(7.229, 7.896]",0,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.5328428978829212,-0.5077256806917303
27.81668915571623,7.8958,0,30,0,0,349216,"(7.229, 7.896]",0,3,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.1542789992013919,-0.5065001667851327
40.0,27.7208,0,31,0,0,PC 17601,"(26.277, 128.082]",1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0.7481997640943355,0.9571030379316028
35.996023809523805,48.84026666666667,0,32,1,1,PC 17569,"(26.277, 128.082]",1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0.4516052236749801,2.516271718649969
22.32904546783625,7.75,0,33,0,1,335677,"(7.229, 7.896]",0,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.5607762110138248,-0.5172640178442853
66.0,10.5,0,34,0,0,C.A. 24579,"(7.896, 10.5]",2,6,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,2.6741497907817107,-0.31424213572720977
28.0,41.0854,0,35,1,0,PC 17604,"(26.277, 128.082]",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.14070024822291446,1.9437598545650092
42.0,26.0,0,36,1,0,113789,"(10.5, 26.277]",3,3,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0.8963497661472105,0.8300630180235796
16.801336050061042,7.2292,0,37,0,1,2677,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.9702412918093714,-0.5557126710103119
21.0,8.05,0,38,0,0,A./5. 2152,"(7.896, 10.5]",2,7,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.6592252554079769,-0.4951161761587861
18.0,9.0,0,39,2,0,345764,"(7.896, 10.5]",2,3,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,-0.8814502584872895,-0.4249813441547055
14.0,5.62085,0,40,1,1,2651,"(-0.001, 7.229]",4,3,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,-1.1777502625930396,-0.6744509415932204
40.0,9.475,0,41,1,0,7546,"(7.896, 10.5]",2,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.7481997640943355,-0.38991392815266523
27.0,10.5,0,42,1,0,11668,"(7.896, 10.5]",2,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.21477524924935198,-0.31424213572720977
27.81668915571623,7.8958,0,43,0,0,349253,"(7.229, 7.896]",0,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.1542789992013919,-0.5065001667851327
3.0,10.3948,2,44,1,1,SC/Paris 2123,"(7.896, 10.5]",2,8,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-1.992575273883852,-0.3220086455449248
19.0,7.8792,0,45,0,1,330958,"(7.229, 7.896]",0,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.807375257460852,-0.5077256806917303
30.037529346372295,8.05,0,46,0,0,S.C./A.4. 23567,"(7.896, 10.5]",2,9,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0.010229740201009844,-0.4951161761587861
35.45779581889482,7.75,0,47,1,0,370371,"(7.229, 7.896]",0,3,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0.4117359847166808,-0.5172640178442853
22.32904546783625,7.75,0,48,0,1,14311,"(7.229, 7.896]",0,3,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,-0.5607762110138248,-0.5172640178442853
25.77415962509714,7.226400000000001,0,49,2,0,2662,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.30557937627852977,-0.5559193841993764
18.0,8.9,0,50,1,0,349237,"(7.896, 10.5]",2,3,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.8814502584872895,-0.4323639580498719
7.0,5.669642857142857,1,51,4,0,3101295,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,-1.696275269778102,-0.6708487533419432
21.0,7.8,0,52,0,0,A/4. 39886,"(7.229, 7.896]",0,10,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,-0.6592252554079769,-0.5135727108967021
49.0,25.576400000000003,0,53,1,1,PC 17572,"(10.5, 26.277]",3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1.414874773332273,0.7987902655636551
29.0,13.0,0,54,1,1,2926,"(10.5, 26.277]",3,3,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,-0.06662524719647697,-0.1296767883480502
65.0,30.9896,1,55,0,0,113509,"(26.277, 128.082]",1,3,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2.600074789755273,1.1984259209368013
40.5573,35.5,0,56,0,1,19947,"(26.277, 128.082]",1,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.789481762166369,1.5314113380643861
21.0,10.5,0,57,0,1,C.A. 31026,"(7.896, 10.5]",2,6,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,-0.6592252554079769,-0.31424213572720977
28.5,7.2292,0,58,0,0,2697,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.10366274770969572,-0.5557126710103119
5.0,6.9375,2,59,1,1,C.A. 34651,"(-0.001, 7.229]",4,6,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,-1.844425271830977,-0.5772477557425122
11.0,5.8625,2,60,5,0,CA 2144,"(-0.001, 7.229]",4,11,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,-1.399975265672352,-0.6566108551155508
22.0,7.2292,0,61,0,0,2669,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,-0.5851502543815394,-0.5557126710103119
38.0,40.0,0,62,0,1,113572,"(26.277, 128.082]",1,3,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0.6000497620414605,1.8636289633468732
45.0,41.7375,0,63,1,0,36973,"(26.277, 128.082]",1,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.118574769226523,1.991901879775389
4.0,4.6499999999999995,2,64,3,0,347088,"(-0.001, 7.229]",4,3,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,-1.9185002728574145,-0.7461250485944432
38.93372142857145,27.7208,0,65,0,0,PC 17605,"(26.277, 128.082]",1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.6692151778212976,0.9571030379316028
